N	pi	err (%)
1	3.200000000000000	1.859164e+00
2	3.764705882352941	1.983431e+01
3	3.661261261261262	1.654157e+01
4	3.565044221593398	1.347888e+01
5	3.495016121647877	1.124982e+01
6	3.443712241796283	9.616765e+00
7	3.404971921240701	8.383622e+00
8	3.374836938187594	7.424396e+00
9	3.350788102309902	6.658898e+00
10	3.331178807281796	6.034715e+00
11	3.314897685406875	5.516470e+00
12	3.301171333123522	5.079547e+00
13	3.289446546044602	4.706336e+00
14	3.279317910545398	4.383931e+00
15	3.270481913709507	4.102673e+00
16	3.262707017461475	3.855190e+00
17	3.255813626913270	3.635767e+00
18	3.249660361039629	3.439902e+00
19	3.244134440142893	3.264006e+00
20	3.239144824982112	3.105182e+00
21	3.234617233973514	2.961064e+00
22	3.230490466837848	2.829705e+00
23	3.226713652952589	2.709486e+00
24	3.223244164664443	2.599048e+00
25	3.220046015769657	2.497248e+00
26	3.217088618733650	2.403111e+00
27	3.214345810445376	2.315805e+00
28	3.211795081277452	2.234613e+00
29	3.209416959693733	2.158915e+00
30	3.207194517031837	2.088172e+00
31	3.205112965979231	2.021914e+00
32	3.203159332718431	1.959728e+00
33	3.201322187457294	1.901250e+00
34	3.199591421576105	1.846158e+00
35	3.197958062255427	1.794167e+00
36	3.196414117437375	1.745021e+00
37	3.194952445487895	1.698495e+00
38	3.193566645091102	1.654384e+00
39	3.192250961806670	1.612504e+00
40	3.191000208422697	1.572691e+00
41	3.189809696786438	1.534796e+00
42	3.188675179229640	1.498683e+00
43	3.187592798050002	1.464230e+00
44	3.186559041785764	1.431325e+00
45	3.185570707241645	1.399865e+00
46	3.184624866402903	1.369758e+00
47	3.183718837519237	1.340918e+00
48	3.182850159758261	1.313267e+00
49	3.182016570925073	1.286733e+00
50	3.181215987823928	1.261250e+00
51	3.180446488903708	1.236756e+00
52	3.179706298883343	1.213195e+00
53	3.178993775098663	1.190515e+00
54	3.178307395350010	1.168667e+00
55	3.177645747061677	1.147606e+00
56	3.177007517590927	1.127290e+00
57	3.176391485546906	1.107681e+00
58	3.175796512998770	1.088743e+00
59	3.175221538468599	1.070441e+00
60	3.174665570618423	1.052744e+00
61	3.174127682552456	1.035622e+00
62	3.173607006665748	1.019049e+00
63	3.173102729979083	1.002997e+00
64	3.172614089907414	9.874430e-01
65	3.172140370415579	9.723640e-01
66	3.171680898520543	9.577386e-01
67	3.171235041104312	9.435465e-01
68	3.170802202005767	9.297688e-01
69	3.170381819363373	9.163876e-01
70	3.169973363183872	9.033860e-01
71	3.169576333114858	8.907482e-01
72	3.169190256401565	8.784590e-01
73	3.168814686010339	8.665042e-01
74	3.168449198903148	8.548704e-01
75	3.168093394449124	8.435448e-01
76	3.167746892960638	8.325153e-01
77	3.167409334342624	8.217705e-01
78	3.167080376845106	8.112994e-01
79	3.166759695909821	8.010918e-01
80	3.166446983102757	7.911379e-01
81	3.166141945125243	7.814282e-01
82	3.165844302896943	7.719540e-01
83	3.165553790704689	7.627067e-01
84	3.165270155411752	7.536783e-01
85	3.164993155722555	7.448611e-01
86	3.164722561498396	7.362478e-01
87	3.164458153120057	7.278315e-01
88	3.164199720893617	7.196053e-01
89	3.163947064496078	7.115630e-01
90	3.163699992457749	7.036985e-01
91	3.163458321678552	6.960058e-01
92	3.163221876975683	6.884796e-01
93	3.162990490660317	6.811143e-01
94	3.162764002141149	6.739050e-01
95	3.162542257552873	6.668466e-01
96	3.162325109407724	6.599346e-01
97	3.162112416268474	6.531643e-01
98	3.161904042441340	6.465316e-01
99	3.161699857687408	6.400322e-01
100	3.161499736951265	6.336621e-01
